lcd_id,lcd_version,synopsis_changes_field_id,last_updated
38588,4,2,2020-05-18 13:41:42.480000000
38631,4,4,2020-05-14 14:46:57.653000000
38633,3,4,2020-05-14 15:17:41.750000000
38674,3,2,2020-05-20 16:53:09.957000000
38675,3,2,2020-05-20 15:36:46.490000000
38788,21,1,2020-09-16 21:20:28.290000000
38788,21,2,2020-09-16 21:20:28.290000000
38788,21,4,2020-09-16 21:20:28.293000000
38849,8,2,2020-10-23 13:45:04.643000000
38850,9,2,2020-10-23 13:46:27.077000000
38853,7,2,2021-01-27 12:25:02.853000000
38853,7,4,2021-01-27 12:25:02.857000000
38876,10,2,2021-01-08 14:47:34.997000000
38876,10,3,2021-01-08 14:47:34.997000000
38877,4,2,2021-01-08 14:48:18.250000000
38877,4,3,2021-01-08 14:48:18.250000000
38921,16,2,2021-01-08 19:41:16.370000000
38921,16,3,2021-01-08 19:41:16.370000000
38921,16,4,2021-01-08 19:41:16.373000000
38922,16,2,2021-01-08 19:38:35.393000000
38922,16,4,2021-01-08 19:38:35.393000000
38927,11,2,2021-01-08 19:52:31.270000000
38927,11,4,2021-01-08 19:52:31.270000000
38928,18,2,2021-01-08 19:44:34.323000000
38928,18,3,2021-01-08 19:44:34.327000000
38928,18,4,2021-01-08 19:44:34.327000000
38931,10,2,2021-01-08 19:45:36.287000000
38931,10,4,2021-01-08 19:45:36.290000000
39052,3,1,2021-05-17 15:02:06.037000000
39052,3,2,2021-05-17 15:02:06.037000000
39052,3,4,2021-05-17 15:02:06.037000000
39061,27,2,2021-06-04 12:34:48.880000000
39061,27,3,2021-06-04 12:34:48.880000000
39061,27,4,2021-06-04 12:34:48.883000000
39069,16,2,2021-06-04 12:35:37.850000000
39069,16,4,2021-06-04 12:35:37.853000000
39076,3,2,2021-05-27 18:43:14.300000000
39098,10,2,2021-07-23 12:43:32.727000000
39098,10,4,2021-07-23 12:43:32.730000000
39099,8,2,2021-07-23 12:45:41.267000000
39099,8,4,2021-07-23 12:45:41.270000000
39112,7,2,2021-09-22 12:04:03.347000000
39112,7,4,2021-09-22 12:04:03.347000000
39119,3,2,2021-09-01 13:29:26.993000000
39122,3,2,2021-09-22 16:59:29.253000000
39122,3,4,2021-09-22 16:59:29.253000000
39243,3,2,2022-01-19 13:43:24.247000000
39243,3,4,2022-01-19 13:43:24.247000000
39246,3,2,2022-01-19 13:26:30.477000000
39246,3,4,2022-01-19 13:26:30.477000000
